['AKIT', 'ABDULKALAM INST OF TECHNOLOGY AND SCI', 'KOTHAGUDEM', 'KGM', 'COED', 'PVT', '2007', 'CIV', 'CIVIL ENGINEERING', '42377', '48502', '42377', '48502', '42377', '48502', '42377', '48502', '42377', '48502', '65314', '65314', '89769', '89769', '90994', '90994', '52000', 'JNTUH'],
['AKIT', 'ABDULKALAM INST OF TECHNOLOGY AND SCI', 'KOTHAGUDEM', 'KGM', 'COED', 'PVT', '2007', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '67055', '79567', '67055', '82913', '67055', '79567', '67055', '79567', '67055', '79567', '67055', '79567', '91216', '91216', '80210', '82282', '52000', 'JNTUH'],
['AKIT', 'ABDULKALAM INST OF TECHNOLOGY AND SCI', 'KOTHAGUDEM', 'KGM', 'COED', 'PVT', '2007', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '50683', '52000', 'JNTUH'],
['AKIT', 'ABDULKALAM INST OF TECHNOLOGY AND SCI', 'KOTHAGUDEM', 'KGM', 'COED', 'PVT', '2007', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '82736', '82736', '82736', '82736', '90516', '90516', '82736', '82736', '82736', '82736', '82736', '82736', '90904', '90904', '88850', '88850', '52000', 'JNTUH'],
['AKIT', 'ABDULKALAM INST OF TECHNOLOGY AND SCI', 'KOTHAGUDEM', 'KGM', 'COED', 'PVT', '2007', 'MEC', 'MECHANICAL ENGINEERING', '52287', '52287', '52287', '52287', '52287', '52287', '52287', '52287', '86133', '86133', '52287', '52287', '52287', '52287', '52287', '52287', '52000', 'JNTUH'],
['ANRH', 'ANURAG COLLEGE OF ENGINEERING', 'GHTKESAR', 'MDL', 'COED', 'PVT', '2008', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '19752', '20403', '64394', '70118', '34784', '38270', '19752', '63932', '32058', '36843', '79407', '83304', '87671', '89181', '78591', '84444', '70000', 'JNTUH'],
['ANRH', 'ANURAG COLLEGE OF ENGINEERING', 'GHTKESAR', 'MDL', 'COED', 'PVT', '2008', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '33051', '43266', '90511', '90511', '63377', '63377', '47020', '47020', '45970', '45970', '66010', '66010', '90159', '90159', '69227', '89657', '70000', 'JNTUH'],
['ANRH', 'ANURAG COLLEGE OF ENGINEERING', 'GHTKESAR', 'MDL', 'COED', 'PVT', '2008', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '54023', '54023', '81673', '81673', '80485', '80485', '54023', '86005', '68560', '88404', '54023', '54023', '83956', '83956', '90844', '90844', '70000', 'JNTUH'],
['ANRH', 'ANURAG COLLEGE OF ENGINEERING', 'GHTKESAR', 'MDL', 'COED', 'PVT', '2008', 'MEC', 'MECHANICAL ENGINEERING', '86889', '86889', '86889', '86889', '86889', '86889', '86889', '86889', '86889', '86889', '86889', '86889', '90330', '90330', '86889', '86889', '70000', 'JNTUH'],
['ANRK', 'ANURAG ENGINEERING COLLGE', 'KODAD', 'SRP', 'COED', 'PVT', '2001', 'CIV', 'CIVIL ENGINEERING', '74656', '74656', '74656', '74656', '90253', '90253', '74656', '74656', '74656', '74656', '74656', '74656', '81080', '81080', '74656', '82150', '73000', 'JNTUH'],
['ANRK', 'ANURAG ENGINEERING COLLGE', 'KODAD', 'SRP', 'COED', 'PVT', '2001', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '62974', '62974', '85904', '86578', '85513', '85513', '77190', '77190', '77283', '77283', '77449', '83293', '64523', '88604', '66459', '88285', '73000', 'JNTUH'],
['ANRK', 'ANURAG ENGINEERING COLLGE', 'KODAD', 'SRP', 'COED', 'PVT', '2001', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '88410', '73000', 'JNTUH'],
['ANRK', 'ANURAG ENGINEERING COLLGE', 'KODAD', 'SRP', 'COED', 'PVT', '2001', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '81803', '81803', '81803', '81803', '81803', '81803', '81803', '81803', '81803', '81803', '81803', '81803', '91395', '91395', '81803', '83925', '73000', 'JNTUH'],
['ANRK', 'ANURAG ENGINEERING COLLGE', 'KODAD', 'SRP', 'COED', 'PVT', '2001', 'MEC', 'MECHANICAL ENGINEERING', '53143', '53143', '53143', '53143', '76322', '82866', '53143', '53143', '53143', '53143', '90052', '90052', '90621', '91123', '80545', '80545', '73000', 'JNTUH'],
['ARJN', 'ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE', 'BATASINGARAM', 'RR', 'COED', 'PVT', '2006', 'CIV', 'CIVIL ENGINEERING', '65332', '89761', '65332', '89761', '65332', '89761', '65332', '89761', '65332', '89761', '70375', '89761', '65332', '89761', '72989', '89761', '57000', 'JNTUH'],
['ARJN', 'ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE', 'BATASINGARAM', 'RR', 'COED', 'PVT', '2006', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '60905', '69692', '79774', '80524', '78532', '90080', '60905', '69692', '69531', '82916', '60905', '83282', '75567', '80059', '84332', '84332', '57000', 'JNTUH'],
['ARJN', 'ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE', 'BATASINGARAM', 'RR', 'COED', 'PVT', '2006', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '81735', '86163', '87440', '87440', '81735', '86163', '81735', '86163', '81735', '86163', '81735', '86163', '81735', '86163', '81735', '86163', '57000', 'JNTUH'],
['ARJN', 'ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE', 'BATASINGARAM', 'RR', 'COED', 'PVT', '2006', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '72373', '72373', '72373', '72373', '72373', '72373', '72373', '72373', '72373', '72373', '72373', '83167', '72373', '72373', '77540', '77540', '57000', 'JNTUH'],
['ARJN', 'ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE', 'BATASINGARAM', 'RR', 'COED', 'PVT', '2006', 'MEC', 'MECHANICAL ENGINEERING', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '65264', '71677', '71677', '57000', 'JNTUH'],
['ASOK', 'ASHOKA  INST OF ENGINEERING TECHNOLOGY', 'MALKAPUR', 'YBG', 'COED', 'PVT', '2009', 'CIV', 'CIVIL ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91356', '91356', '91347', '91347', '65000', 'JNTUH'],
['ASOK', 'ASHOKA  INST OF ENGINEERING TECHNOLOGY', 'MALKAPUR', 'YBG', 'COED', 'PVT', '2009', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '62185', '64306', '86132', '86132', '89771', '89771', '62185', '64306', '81997', '89892', '83826', '86813', '77941', '77941', '89963', '89963', '65000', 'JNTUH'],
['ASOK', 'ASHOKA  INST OF ENGINEERING TECHNOLOGY', 'MALKAPUR', 'YBG', 'COED', 'PVT', '2009', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '61273', '61273', '61273', '61273', '61273', '61273', '61273', '61273', '76814', '76814', '61273', '61273', '83694', '83694', '90191', '90191', '65000', 'JNTUH'],
['ASOK', 'ASHOKA  INST OF ENGINEERING TECHNOLOGY', 'MALKAPUR', 'YBG', 'COED', 'PVT', '2009', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '76731', '76731', '76731', '76731', '76731', '76731', '76731', '76731', '76731', '83398', '76731', '76731', '91417', '91417', '87069', '87069', '65000', 'JNTUH'],
['ASOK', 'ASHOKA  INST OF ENGINEERING TECHNOLOGY', 'MALKAPUR', 'YBG', 'COED', 'PVT', '2009', 'MEC', 'MECHANICAL ENGINEERING', '57876', '57876', '57876', '57876', '57876', '57876', '57876', '57876', '57876', '57876', '57876', '57876', '81124', '81124', '81500', '81500', '65000', 'JNTUH'],
['ASRA', 'AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2008', 'CIV', 'CIVIL ENGINEERING', '75830', '75830', '75830', '75830', '75830', '75830', '75830', '75830', '75830', '75830', '75830', '75830', '89481', '90092', '88946', '89226', '50000', 'JNTUH'],
['ASRA', 'AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2008', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '54436', '54436', '73181', '73181', '68456', '77863', '54436', '54436', '62524', '62524', '54436', '54672', '90087', '90087', '84579', '84579', '50000', 'JNTUH'],
['ASRA', 'AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2008', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '76183', '76183', '87657', '87657', '80444', '80444', '81542', '81542', '76485', '78140', '76183', '76183', '83849', '83849', '76183', '76183', '50000', 'JNTUH'],
['ASRA', 'AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2008', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '50000', 'JNTUH'],
['ASRA', 'AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2008', 'MEC', 'MECHANICAL ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '50000', 'JNTUH'],
['AURG', 'AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2003', 'CIV', 'CIVIL ENGINEERING', '67600', '67600', '67600', '67600', '90227', '90227', '67600', '67600', '78057', '79624', '67600', '90202', '87982', '87982', '90845', '90845', '60000', 'JNTUH'],
['AURG', 'AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2003', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '26991', '26991', '80302', '80302', '40928', '40928', '26991', '26991', '38687', '49938', '71978', '71978', '81535', '89441', '36497', '49983', '60000', 'JNTUH'],
['AURG', 'AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2003', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '52827', '52827', '81407', '81407', '88148', '88148', '60297', '60297', '64319', '70758', '64010', '89486', '72277', '72277', '78908', '78908', '60000', 'JNTUH'],
['AURG', 'AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2003', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '69896', '69896', '77742', '77742', '69896', '69896', '69896', '69896', '75496', '83932', '71273', '71273', '87898', '87898', '69896', '69896', '60000', 'JNTUH'],
